x-axis,1,2
second,Volt,Volt
-4.16000E-03,-167.50001E-03,+249.98E-06
-4.14000E-03,-186.25001E-03,+249.98E-06
-4.12000E-03,-180.00001E-03,+249.98E-06
-4.10000E-03,-167.50001E-03,+249.98E-06
-4.08000E-03,-136.25000E-03,+249.98E-06
-4.06000E-03,-117.50000E-03,+249.98E-06
-4.04000E-03,-173.75001E-03,+249.98E-06
-4.02000E-03,-142.50000E-03,+6.49998E-03
-4.00000E-03,-180.00001E-03,+249.98E-06
-3.98000E-03,-155.00000E-03,+6.49998E-03
-3.96000E-03,-173.75001E-03,+6.49998E-03
-3.94000E-03,-155.00000E-03,+6.49998E-03
-3.92000E-03,-180.00001E-03,+249.98E-06
-3.90000E-03,-161.25001E-03,+249.98E-06
-3.88000E-03,-167.50001E-03,+249.98E-06
-3.86000E-03,-180.00001E-03,+6.49998E-03
-3.84000E-03,-173.75001E-03,+249.98E-06
-3.82000E-03,-180.00001E-03,+6.49998E-03
-3.80000E-03,-167.50001E-03,+249.98E-06
-3.78000E-03,-123.75000E-03,+249.98E-06
-3.76000E-03,-180.00001E-03,+6.49998E-03
-3.74000E-03,-142.50000E-03,+249.98E-06
-3.72000E-03,-173.75001E-03,+6.49998E-03
-3.70000E-03,-142.50000E-03,+6.49998E-03
-3.68000E-03,-180.00001E-03,+249.98E-06
-3.66000E-03,-155.00000E-03,+249.98E-06
-3.64000E-03,-167.50001E-03,+249.98E-06
-3.62000E-03,-161.25001E-03,+249.98E-06
-3.60000E-03,-161.25001E-03,+249.98E-06
-3.58000E-03,-192.50001E-03,+249.98E-06
-3.56000E-03,-173.75001E-03,+249.98E-06
-3.54000E-03,-173.75001E-03,+6.49998E-03
-3.52000E-03,-211.25001E-03,+249.98E-06
-3.50000E-03,-136.25000E-03,+249.98E-06
-3.48000E-03,-192.50001E-03,+249.98E-06
-3.46000E-03,-142.50000E-03,+6.49998E-03
-3.44000E-03,-173.75001E-03,+249.98E-06
-3.42000E-03,-155.00000E-03,+249.98E-06
-3.40000E-03,-167.50001E-03,+249.98E-06
-3.38000E-03,-155.00000E-03,+249.98E-06
-3.36000E-03,-161.25001E-03,+249.98E-06
-3.34000E-03,-155.00000E-03,+6.49998E-03
-3.32000E-03,-155.00000E-03,+249.98E-06
-3.30000E-03,-180.00001E-03,+249.98E-06
-3.28000E-03,-186.25001E-03,+6.49998E-03
-3.26000E-03,-180.00001E-03,+249.98E-06
-3.24000E-03,-155.00000E-03,+249.98E-06
-3.22000E-03,-130.00000E-03,+249.98E-06
